alert_id,symbol,direction,alert_timestamp_et,entry_timestamp_et,entry_price,stop_price,target1_price,target2_price,exit_timestamp_et,exit_price,outcome,r_multiple,holding_seconds,mfe,mae,confidence,tape_acceleration_score,continuation_quality_score,participation_ratio,regime,reason_codes,absorption_level,reclaim_level,displacement_ticks
DEDUP_001,ESM6.CME@RITHMIC,LONG,2026-05-05T12:42:32.481344,2026-05-05T12:42:32.481344,727.75,720.47,735.03,742.3,2026-05-05T12:42:32.481344,727.75,TIMEOUT,0.0,300,0.0,0.0,0.83,0.75,0.83,0.5,trending,sweep_detected;follow_through;trending,0.7,0.6,0
DEDUP_002,ESM6.CME@RITHMIC,LONG,2026-05-05T13:40:39.621780,2026-05-05T13:40:39.621780,2785.25,2757.4,2813.1,2840.95,2026-05-05T13:40:39.621780,2785.25,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_003,ESM6.CME@RITHMIC,LONG,2026-05-05T12:51:56.675575,2026-05-05T12:51:56.675575,6800.0,6732.0,6868.0,6936.0,2026-05-05T12:51:56.675575,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_004,ESM6.CME@RITHMIC,LONG,2026-05-05T14:00:00.161433,2026-05-05T14:00:00.161433,6800.0,6732.0,6868.0,6936.0,2026-05-05T14:00:00.161433,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_005,ESM6.CME@RITHMIC,LONG,2026-05-05T16:28:27.199823,2026-05-05T16:28:27.199823,6800.0,6732.0,6868.0,6936.0,2026-05-05T16:28:27.199823,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.77,0.75,0.77,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_006,ESM6.CME@RITHMIC,LONG,2026-05-05T14:45:01.600476,2026-05-05T14:45:01.600476,6800.0,6732.0,6868.0,6936.0,2026-05-05T14:45:01.600476,6800.0,TIMEOUT,0.0,300,0.0,0.0,0.76,0.75,0.76,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_007,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:27:49.581164,2026-05-05T13:27:49.581164,7307.0,7380.07,7233.93,7160.86,2026-05-05T13:27:49.581164,7233.93,TARGET1_HIT,-1.0,300,-1.0,1.0,0.73,0.75,0.73,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_008,ESM6.CME@RITHMIC,LONG,2026-05-05T12:53:40.356295,2026-05-05T12:53:40.356295,7280.0,7207.2,7352.8,7425.6,2026-05-05T12:53:40.356295,7280.0,TIMEOUT,0.0,300,0.0,0.0,0.72,0.75,0.72,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_009,ESM6.CME@RITHMIC,LONG,2026-05-05T12:51:43.275846,2026-05-05T12:51:43.275846,6900.0,6831.0,6969.0,7038.0,2026-05-05T12:51:43.275846,6900.0,TIMEOUT,0.0,300,0.0,0.0,0.72,0.75,0.72,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_010,ESM6.CME@RITHMIC,LONG,2026-05-05T13:25:47.680517,2026-05-05T13:25:47.680517,6900.0,6831.0,6969.0,7038.0,2026-05-05T13:25:47.680517,6900.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_011,ESM6.CME@RITHMIC,LONG,2026-05-05T14:00:00.197723,2026-05-05T14:00:00.197723,6900.0,6831.0,6969.0,7038.0,2026-05-05T14:00:00.197723,6900.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_012,ESM6.CME@RITHMIC,LONG,2026-05-05T15:46:18.525665,2026-05-05T15:46:18.525665,7000.0,6930.0,7070.0,7140.0,2026-05-05T15:46:18.525665,7000.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_013,ESM6.CME@RITHMIC,LONG,2026-05-05T12:51:28.429979,2026-05-05T12:51:28.429979,7000.0,6930.0,7070.0,7140.0,2026-05-05T12:51:28.429979,7000.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_014,ESM6.CME@RITHMIC,LONG,2026-05-05T13:18:09.884869,2026-05-05T13:18:09.884869,7000.0,6930.0,7070.0,7140.0,2026-05-05T13:18:09.884869,7000.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_015,ESM6.CME@RITHMIC,LONG,2026-05-05T14:00:00.168071,2026-05-05T14:00:00.168071,7000.0,6930.0,7070.0,7140.0,2026-05-05T14:00:00.168071,7000.0,TIMEOUT,0.0,300,0.0,0.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_016,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:23:08.604500,2026-05-05T13:23:08.604500,7400.0,7474.0,7326.0,7252.0,2026-05-05T13:23:08.604500,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_017,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:27:17.868594,2026-05-05T15:27:17.868594,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:27:17.868594,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_018,ESM6.CME@RITHMIC,SHORT,2026-05-05T16:39:35.828070,2026-05-05T16:39:35.828070,7400.0,7474.0,7326.0,7252.0,2026-05-05T16:39:35.828070,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_019,ESM6.CME@RITHMIC,SHORT,2026-05-05T16:51:13.344658,2026-05-05T16:51:13.344658,7400.0,7474.0,7326.0,7252.0,2026-05-05T16:51:13.344658,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_020,ESM6.CME@RITHMIC,SHORT,2026-05-05T12:58:35.840124,2026-05-05T12:58:35.840124,7400.0,7474.0,7326.0,7252.0,2026-05-05T12:58:35.840124,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_021,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:34:27.284278,2026-05-05T13:34:27.284278,7400.0,7474.0,7326.0,7252.0,2026-05-05T13:34:27.284278,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_022,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:06:06.491281,2026-05-05T15:06:06.491281,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:06:06.491281,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_023,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:38:20.949567,2026-05-05T15:38:20.949567,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:38:20.949567,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_024,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:48:21.423957,2026-05-05T15:48:21.423957,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:48:21.423957,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_025,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:59:29.578137,2026-05-05T15:59:29.578137,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:59:29.578137,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_026,ESM6.CME@RITHMIC,SHORT,2026-05-05T16:10:08.785789,2026-05-05T16:10:08.785789,7400.0,7474.0,7326.0,7252.0,2026-05-05T16:10:08.785789,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_027,ESM6.CME@RITHMIC,SHORT,2026-05-05T16:24:34.115248,2026-05-05T16:24:34.115248,7400.0,7474.0,7326.0,7252.0,2026-05-05T16:24:34.115248,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.71,0.75,0.71,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_028,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:44:35.175169,2026-05-05T13:44:35.175169,7400.0,7474.0,7326.0,7252.0,2026-05-05T13:44:35.175169,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.7,0.75,0.7,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_029,ESM6.CME@RITHMIC,SHORT,2026-05-05T13:57:25.798652,2026-05-05T13:57:25.798652,7400.0,7474.0,7326.0,7252.0,2026-05-05T13:57:25.798652,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.7,0.75,0.7,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_030,ESM6.CME@RITHMIC,SHORT,2026-05-05T15:16:35.870376,2026-05-05T15:16:35.870376,7400.0,7474.0,7326.0,7252.0,2026-05-05T15:16:35.870376,7326.0,TARGET1_HIT,-1.0,300,-1.0,1.0,0.7,0.75,0.7,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_031,ESM6.CME@RITHMIC,SHORT,2026-05-05T12:15:55.753782,2026-05-05T12:15:55.753782,7295.0,7367.95,7222.05,7149.1,2026-05-05T12:15:55.753782,7222.05,TARGET1_HIT,-1.0,300,-1.0,1.0,0.7,0.75,0.7,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
DEDUP_032,ESM6.CME@RITHMIC,LONG,2026-05-05T12:59:59.667553,2026-05-05T12:59:59.667553,7286.75,7213.88,7359.62,7432.48,2026-05-05T12:59:59.667553,7286.75,TIMEOUT,0.0,300,0.0,0.0,0.7,0.75,0.7,0.5,transition,sweep_detected;follow_through;transition,0.7,0.6,0
